PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
42327190,Perturbation of genes linked to common schizophrenia risk variants identifies cilia programs,"Lee J, Min H, Casingal C, Ledford AT, Lee H, Ma W, Gao Y, Mao H, McCoy ES, Xing L, Fang C, Kwon SH, Zylka MJ, Martinowich K, Maynard KR, Hicks SC, Anton ES, Won H.",bioRxiv [Preprint]. 2026 Jun 10:2026.06.09.731172. doi: 10.64898/2026.06.09.731172.,Lee J,bioRxiv,2026,2026-06-22,PMC13278005,,10.64898/2026.06.09.731172
42241279,Spatio-molecular gene expression reflects dorsal anterior cingulate cortex structure and function in the human brain,"Shah K, Totty MS, Bach SV, Valentine MR, Chandra A, AlGrain HA, Divecha HR, Miller RA, Siewe FRM, Kwon SH, Del Rosario Alvia I, Ramnauth AD, Tippani M, Tyagi S, Kleinman JE, Collado-Torres L, Han S, Hyde TM, Page SC, Maynard KR, Hicks SC, Martinowich K.",Cell Rep. 2026 Jun 23;45(6):117500. doi: 10.1016/j.celrep.2026.117500. Epub 2026 Jun 4.,Shah K,Cell Rep,2026,2026-06-04,PMC13359017,NIHMS2190746,10.1016/j.celrep.2026.117500
41843762,"A reference genome sequence for the exceptionally long-lived Great Basin bristlecone pine, Pinus longaeva","Neale DB, Zimin AV, Millar CI, McGuire PE, Hosea JA, Li E, Puiu D, Timp W, Salzberg SL.",G3 (Bethesda). 2026 Jun 3;16(6):jkag064. doi: 10.1093/g3journal/jkag064.,Neale DB,G3 (Bethesda),2026,2026-03-17,PMC13233319,,10.1093/g3journal/jkag064
42244644,Autism associated Cntnap2 deletion disrupts vestibular sensory signaling and spatial cognition in mice,"Shu Y, Chen Y, Zhou D, Deng X, Florea LD, Deemyad T, Sadeghi SG.",bioRxiv [Preprint]. 2026 May 29:2026.05.28.728446. doi: 10.64898/2026.05.28.728446.,Shu Y,bioRxiv,2026,2026-06-05,PMC13232327,,10.64898/2026.05.28.728446
42214366,Facile generation of Hermes insertion mutants in prototrophic Candida glabrata for use in nutrient-limited environments,"Zaeske AM, Harrington AA, Nickels TJ, Gale AN, Timp W, Alayo N, Hassoun Y, Perlin DS, Shor E, Cunningham KW.",Microbiol Spectr. 2026 Jul 7;14(7):e0084826. doi: 10.1128/spectrum.00848-26. Epub 2026 May 29.,Zaeske AM,Microbiol Spectr,2026,2026-05-29,PMC13340276,,10.1128/spectrum.00848-26
42256797,"Drivers of disparities in asthma exacerbation and healthcare utilization: a quantitative analysis of neighborhood deprivation in Southern California, United States","Xu S, Xie F, Powers DA, Puttock EJ, Schatz M, Vollmer WM, Zeiger RS, Chen W.",Prev Med Rep. 2026 May 25;67:103510. doi: 10.1016/j.pmedr.2026.103510. eCollection 2026 Jul.,Xu S,Prev Med Rep,2026,2026-06-08,PMC13233807,,10.1016/j.pmedr.2026.103510
42162411,Non-Mendelian inheritance of DNA methylation patterns in mice,"Davidovich A, Cuomo D, Su H, Kambhampati S, Gong Q, Naron A, Tryggvadottir R, McMillan L, Hansen KD, Threadgill DW, Feinberg AP.",Nat Genet. 2026 Jun;58(6):1409-1422. doi: 10.1038/s41588-026-02604-z. Epub 2026 May 20.,Davidovich A,Nat Genet,2026,2026-05-20,PMC13263155,NIHMS2179005,10.1038/s41588-026-02604-z
42157005,StringTie3 improves total RNA-seq assembly by resolving nascent and mature transcripts,"Shinder I, Pertea G, Hu R, Rudnick Z, Pertea M.",Nat Methods. 2026 Jun;23(6):1126-1137. doi: 10.1038/s41592-026-03080-3. Epub 2026 May 19.,Shinder I,Nat Methods,2026,2026-05-19,PMC13250942,NIHMS2178377,10.1038/s41592-026-03080-3
42239246,SpatialArtifacts: a computational framework for tissue artifact detection in spatial transcriptomics data,"He JH, Thompson JR, Totty M, Hicks SC.",bioRxiv [Preprint]. 2026 May 18:2026.05.15.725260. doi: 10.64898/2026.05.15.725260.,He JH,bioRxiv,2026,2026-06-04,PMC13228377,,10.64898/2026.05.15.725260
42238399,A genome-wide meta-analysis identifies a sex-specific genetic effect for platelet aggregation in response to agonists,"Ngwa JS, Chen MH, Brady G, Yanek LR, Kammers K, Kanchan K, Taub MA, Dun Y, Chatterjee N, Ryan KA; NHLBI Trans-Omics for Precision (TOPMed) Consortium; Becker LC, Mathias RA, Lewis JP, Johnson AD, Faraday N, Ruczinski I.",medRxiv [Preprint]. 2026 May 18:2026.05.14.26353192. doi: 10.64898/2026.05.14.26353192.,Ngwa JS,medRxiv,2026,2026-06-04,PMC13228654,,10.64898/2026.05.14.26353192
42138085,Simultaneous CRISPR/Cas9-induced double-strand breaks are lethal in models of pancreatic cancer,"Teh SSK, Kotwal A, Bennett A, Halper-Stromberg E, Morsberger L, Zamani S, Shi Y, Skaist A, Zhu Q, Bowland K, Liang H, Hruban RH, Hung CF, Anders RA, Roberts NJ, Scharpf RB, Goldstein M, Zou YS, Eshleman JR.",J Clin Invest. 2026 May 15;136(10):e190121. doi: 10.1172/JCI190121. eCollection 2026 May 15.,Teh SSK,J Clin Invest,2026,2026-05-15,PMC13178663,,10.1172/JCI190121
42182231,Quantifying Cross-Modal Association Confidence for Single-Cell RNA-ATAC Integration,"Furutani T, Ji H.",bioRxiv [Preprint]. 2026 May 12:2026.05.07.723400. doi: 10.64898/2026.05.07.723400.,Furutani T,bioRxiv,2026,2026-05-25,PMC13192985,,10.64898/2026.05.07.723400
42115188,The multi-kinase inhibitor tinengotinib as monotherapy or combined with atezolizumab in advanced solid tumors: a phase Ib/II trial,"Zhang P, Niu Z, Guo H, Zhang M, Jiang S, Cao B, He C, Hou X, Zhang J, Yuan J, Zhu Y, Yu Y, Sun C, Peng P, Fan J, Gong J, Zhou J, Shen L.",Nat Commun. 2026 May 11;17(1):6290. doi: 10.1038/s41467-026-72541-2.,Zhang P,Nat Commun,2026,2026-05-11,PMC13376351,,10.1038/s41467-026-72541-2
